doc_key,mention_ind,mentions_vs_mentionstr,mentions_vs_clusters,mentions_vs_tbound,category,pronoun_class,entity_name,name_fuzzy_scores,neighbour_distance,nominal_neighbour_distance,surface_neighbour_distance,avg_fuzzy_scores,cluster_size,nominal_size,is_plural,num_major_mentions_neigh,num_helpers,num_dists,fin_dists,is_nested,nested_entities,dataset,predicted_answer,answer,phrase_extr,correct,options,pred_in_opts,pred_gender,ans_gender,output,predicted_pronoun,answer_pronoun,num_options,is_dialogue,correct_extr
1342_pride_and_prejudice_brat_0,202,his wife,6,"[1083, 1084]",NOM,-1,Mrs. Bennet,22,2,13,37,55.5,86,16,False,19,-1,-2,-1,1,['Mr. Bennet'],litbank,Mrs. Bennet,Mrs. Bennet,his wife,True,"['Mary', 'Kitty', 'Mrs. Bennet', 'Mrs. Long', 'Elizabeth', 'Mr. Bingley', 'Mr. Bennet', 'Lydia', 'Netherfield Park', 'None of the Above']",True,Female,Female,"- Mention: {{his wife}}
- Explanation: The mention refers to the wife of Mr. Bennet, who is a character in the text and is being addressed by Mr. Bennet in the conversation. The mention is used to refer to Mrs. Bennet.
- The mention refers to: Mrs. Bennet","{0: 34, 1: 22, 3: 14}","{0: 34, 1: 22, 3: 14}",10,False,True
2891_howards_end_brat_0,36,hostess,24,"[232, 232]",NOM,-1,Mrs. Wilcox,22,15,15,15,35.875,18,8,False,12,-1,-2,-1,1,['Others'],litbank,Mrs. Wilcox,Mrs. Wilcox,hostess,True,"['The Promontory', 'Helen', 'Speyer', 'Howards End', 'Tibby', 'Evie', 'The Cathedral', 'Margaret', 'Charles Wilcox', 'Mr. Wilcox', 'Mrs. Wilcox', 'Paul', 'Aunt Juley', 'The Garden', 'The House', 'London', 'None of the Above']",True,Female,Female,"- Mention: {{hostess}}
- Explanation: The mention refers to the person who is the hostess of the house where Helen is staying. The hostess is Mrs. Wilcox, who is the wife of Mr. Wilcox and the mother of Charles, Evie, and Paul.
- The mention refers to: Mrs. Wilcox",{3: 10},{3: 10},17,False,True
155_the_moonstone_brat_0,244,my cousin,6,"[1858, 1859]",NOM,-1,John Herncastle,33,7,7,7,56.94117647058823,39,17,False,14,-1,-2,-1,1,['Narrator'],litbank,John Herncastle,John Herncastle,my cousin,True,"['Narrator', 'The Armoury', 'The Moon-god', 'General Baird', 'Tippoo', 'Vishnu', 'The Dying Indian', 'The Courtyard', 'India', 'Seringapatam', 'The Presumptuous Mortal', 'John Herncastle', 'Aurungzebe', 'None of the Above']",True,Male,Male,"- Mention: {{my cousin}}
- Explanation: The mention refers to the narrator's cousin, who is also a character in the story, John Herncastle. The mention is used to refer to John Herncastle throughout the text.
- The mention refers to: John Herncastle","{2: 18, 1: 2, 0: 2}","{2: 18, 1: 2, 0: 2}",14,False,True
2005_piccadilly_jim_brat_0,200,here,39,"[1356, 1356]",NOM,-1,Library,33,3,3,65,81.4,5,5,False,19,-1,-2,-1,0,[],litbank,Mr. Pett's Room,Library,here,False,"[""Mr. Peter Pett's Residence"", 'Ogden Ford', 'Mrs. Pett', 'Library', 'The Typewriter Girl', ""Mr. Pett's Room"", 'Mr. Peter Pett', 'Riverside Drive', 'Elmer Ford', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{here}}
- Explanation: The mention refers to the location where Ogden Ford is sitting in the library, which is Mr. Pett's private library, a large, soothing room full of old books.
- The mention refers to: Mr. Pett's Room",{4: 3},{},10,False,True
2891_howards_end_brat_0,199,here,2,"[1290, 1290]",NOM,-1,Howards End,40,11,11,11,70.0,8,6,False,10,-1,-2,-1,0,[],litbank,Paul,Howards End,here,False,"['Charles Wilcox', 'Mrs. Wilcox', 'London', 'The Cathedral', 'Mr. Wilcox', 'Tibby', 'The Promontory', 'Paul', 'Evie', 'Margaret', 'Speyer', 'Aunt Juley', 'The House', 'Howards End', 'The Garden', 'Helen', 'None of the Above']",True,Male,Neutral,"- Mention: {{here}}
- Explanation: The mention refers to the younger son of the Wilcox family who is in love with Helen. The mention is used to refer to Paul Wilcox in the text. The mention is used to refer to Paul Wilcox in the text.
- The mention refers to: Paul",{},{4: 2},17,False,True
345_dracula_brat_0,241,his wife,87,"[1591, 1592]",NOM,-1,The Old Lady,40,14,14,20,63.5,33,6,False,20,-1,-2,-1,1,"[""Jonathan Harker's Landlord""]",litbank,The Old Lady,The Old Lady,his wife,True,"['The Old Lady', 'The Carpathians', 'Count Dracula', 'Mina', 'Transylvania', ""Jonathan Harker's Landlord"", 'Jonathan Harker', ""Count Dracula's Carriage"", 'Bistritz', 'None of the Above']",True,Female,Female,"- Mention: {{his wife}}
- Explanation: The mention refers to the wife of the landlord of the Golden Krone Hotel, who is an old lady and is the one who receives Jonathan Harker at the hotel and is very concerned about his departure.
- The mention refers to: The Old Lady","{3: 25, 0: 2}","{3: 25, 0: 2}",10,False,True
24_o_pioneers_brat_0,49,town,1,"[287, 287]",NOM,-1,Hanover,29,26,26,48,73.33333333333333,6,6,False,4,-1,-2,-1,0,[],litbank,Hanover,Hanover,town,True,"['The Street', 'Alexandra', 'Emil', 'Carl', 'The Saloon', 'The Store', 'Hanover', 'The Little Drummer', 'The Doctor', 'Marie', 'The Drug Store', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{town}}
- Explanation: The mention refers to the name of the place where the story is set, which is a small town in Nebraska, USA. The mention is used to refer to the town where the story takes place.
- The mention refers to: Hanover",{},{},12,False,True
4276_north_and_south_brat_0,275,her father,11,"[1734, 1735]",NOM,-1,Mr. Hale,60,13,13,13,82.16666666666667,9,6,False,18,-1,-2,-1,1,['Margaret'],litbank,Margaret,Mr. Hale,her father,False,"['Newton', 'Helen', 'Mrs. Shaw', 'Margaret', 'Helstone Parsonage', 'Mrs. Gibson', 'Edith', 'Mr. Hale', 'Captain Lennox', 'The House', 'The Nursery', 'General Shaw', 'Mother', 'The Drawing-room', 'None of the Above']",True,Female,Male,"- Mention: {{her father}}
- Explanation: The mention refers to the father of Margaret, who is also the father of Edith and the parson of Helstone Parsonage. He is the one who had to leave his parish to come up to London for a few days.
- The mention refers to: Margaret","{3: 46, 0: 2, 1: 1}",{2: 3},15,False,True
120_treasure_island_brat_0,90,The man who came with the barrow,21,"[552, 558]",NOM,-1,The Barrow Man,72,27,27,27,78.66666666666667,4,3,False,10,-1,-2,-1,0,[],litbank,The Barrow Man,The Barrow Man,The man who came with the barrow,True,"['The One-legged Seafaring Man', 'The Dead Man', 'The Sea', ""Narrator's Father"", 'The Barrow Man', 'The Captain', 'The Cove', 'Dr. Livesey', 'The Parlour', 'Narrator', 'The Cliffs', 'None of the Above']",True,Male,Male,"- Mention: {{The man who came with the barrow}}
- Explanation: The man who came with the barrow is the one who trundled the barrow that carried the captain's sea chest to the Admiral Benbow inn. He is the one who told the narrator and his father about the captain's arrival at the inn.
- The mention refers to: The Barrow Man",{1: 1},{1: 1},12,False,True
41286_miss_marjoribanks_brat_0,312,his wife 's,1,"[2440, 2442]",NOM,-1,Mrs. Marjoribanks,40,13,13,74,54.0,35,20,False,19,-1,-2,-1,1,['Dr. Marjoribanks'],litbank,Mrs. Marjoribanks,Mrs. Marjoribanks,his wife's,True,"['Miss Marjoribanks', 'The Drawing-room', 'Mrs. Marjoribanks', 'Ellis', ""Dr. Marjoribanks' Library"", 'Dr. Marjoribanks', 'The World', 'None of the Above']",True,Female,Female,"- Mention: {{his wife's}}
- Explanation: The mention refers to the sofa of Dr. Marjoribanks' wife, which is the deceased character in the story, Mrs. Marjoribanks. The mention is used to describe the sofa where Dr. Marjoribanks sits after his wife's funeral.
- The mention refers to: Mrs. Marjoribanks",{3: 15},{3: 15},8,False,False
