doc_key,mention_ind,mentions_vs_mentionstr,mentions_vs_clusters,mentions_vs_tbound,category,pronoun_class,entity_name,name_fuzzy_scores,neighbour_distance,nominal_neighbour_distance,surface_neighbour_distance,avg_fuzzy_scores,cluster_size,nominal_size,is_plural,num_major_mentions_neigh,num_helpers,num_dists,fin_dists,is_nested,nested_entities,dataset,predicted_answer,answer,phrase_extr,correct,options,pred_in_opts,pred_gender,ans_gender,output,predicted_pronoun,answer_pronoun,num_options,is_dialogue,correct_extr
1342_pride_and_prejudice_brat_0,202,his wife,6,"[1083, 1084]",NOM,-1,Mrs. Bennet,22,2,13,37,55.5,86,16,False,19,-1,-2,-1,1,['Mr. Bennet'],litbank,Mrs. Bennet,Mrs. Bennet,his wife,True,"['Mary', 'Kitty', 'Mrs. Bennet', 'Mrs. Long', 'Elizabeth', 'Mr. Bingley', 'Mr. Bennet', 'Lydia', 'Netherfield Park', 'None of the Above']",True,Female,Female,"- Mention: {{his wife}}
- Explanation: The mention refers to Mrs. Bennet. The pronoun 'his' refers to Mr. Bennet, and 'wife' refers to the person who is married to Mr. Bennet. So, the mention refers to Mrs. Bennet.
- The mention refers to: Mrs. Bennet","{0: 34, 1: 22, 3: 14}","{0: 34, 1: 22, 3: 14}",10,False,True
2891_howards_end_brat_0,36,hostess,24,"[232, 232]",NOM,-1,Mrs. Wilcox,22,15,15,15,35.875,18,8,False,12,-1,-2,-1,1,['Others'],litbank,Mrs. Wilcox,Mrs. Wilcox,hostess,True,"['The Promontory', 'Helen', 'Speyer', 'Howards End', 'Tibby', 'Evie', 'The Cathedral', 'Margaret', 'Charles Wilcox', 'Mr. Wilcox', 'Mrs. Wilcox', 'Paul', 'Aunt Juley', 'The Garden', 'The House', 'London', 'None of the Above']",True,Female,Female,"- Mention: {{hostess}}
- Explanation: The mention refers to Mrs. Wilcox. The mention is used to refer to the wife of Mr. Wilcox. The mention is used in the context of the hostess of Howards End.
- The mention refers to: Mrs. Wilcox",{3: 10},{3: 10},17,False,True
155_the_moonstone_brat_0,244,my cousin,6,"[1858, 1859]",NOM,-1,John Herncastle,33,7,7,7,56.94117647058823,39,17,False,14,-1,-2,-1,1,['Narrator'],litbank,John Herncastle,John Herncastle,my cousin,True,"['Narrator', 'The Armoury', 'The Moon-god', 'General Baird', 'Tippoo', 'Vishnu', 'The Dying Indian', 'The Courtyard', 'India', 'Seringapatam', 'The Presumptuous Mortal', 'John Herncastle', 'Aurungzebe', 'None of the Above']",True,Male,Male,"- Mention: {{my cousin}}
- Explanation: The mention refers to John Herncastle. The narrator is talking about his cousin, John Herncastle, throughout the text. The mention is used to refer to John Herncastle.
- The mention refers to: John Herncastle","{2: 18, 1: 2, 0: 2}","{2: 18, 1: 2, 0: 2}",14,False,True
2005_piccadilly_jim_brat_0,200,here,39,"[1356, 1356]",NOM,-1,Library,33,3,3,65,81.4,5,5,False,19,-1,-2,-1,0,[],litbank,The Typewriter Girl,Library,here,False,"[""Mr. Peter Pett's Residence"", 'Ogden Ford', 'Mrs. Pett', 'Library', 'The Typewriter Girl', ""Mr. Pett's Room"", 'Mr. Peter Pett', 'Riverside Drive', 'Elmer Ford', 'None of the Above']",True,Female,Neutral,"- Mention: {{here}}
- Explanation: This mention refers to the location where Ogden Ford was sitting. It is not a specific location mentioned in the text. It is a general term used to indicate a place.
- The mention refers to: The Typewriter Girl",{3: 3},{},10,False,True
2891_howards_end_brat_0,199,here,2,"[1290, 1290]",NOM,-1,Howards End,40,11,11,11,70.0,8,6,False,10,-1,-2,-1,0,[],litbank,The House,Howards End,here,False,"['Charles Wilcox', 'Mrs. Wilcox', 'London', 'The Cathedral', 'Mr. Wilcox', 'Tibby', 'The Promontory', 'Paul', 'Evie', 'Margaret', 'Speyer', 'Aunt Juley', 'The House', 'Howards End', 'The Garden', 'Helen', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{here}}
- Explanation: The mention refers to the entire Wilcox family who are currently staying at Howards End. The mention is used to describe their presence at Howards End.
- The mention refers to: The House",{4: 3},{4: 2},17,False,True
345_dracula_brat_0,241,his wife,87,"[1591, 1592]",NOM,-1,The Old Lady,40,14,14,20,63.5,33,6,False,20,-1,-2,-1,1,"[""Jonathan Harker's Landlord""]",litbank,Jonathan Harker,The Old Lady,his wife,False,"['The Old Lady', 'The Carpathians', 'Count Dracula', 'Mina', 'Transylvania', ""Jonathan Harker's Landlord"", 'Jonathan Harker', ""Count Dracula's Carriage"", 'Bistritz', 'None of the Above']",True,Male,Female,"- Mention: {{his wife}}
- Explanation: The mention refers to the wife of the landlord of the Golden Krone Hotel in Bistritz. The mention is used in the context of the landlord and his wife looking at each other in a frightened sort of way when the letter from Count Dracula was shown to them.
- The mention refers to: Jonathan Harker","{0: 95, 1: 17}","{3: 25, 0: 2}",10,False,True
24_o_pioneers_brat_0,49,town,1,"[287, 287]",NOM,-1,Hanover,29,26,26,48,73.33333333333333,6,6,False,4,-1,-2,-1,0,[],litbank,Hanover,Hanover,town,True,"['The Street', 'Alexandra', 'Emil', 'Carl', 'The Saloon', 'The Store', 'Hanover', 'The Little Drummer', 'The Doctor', 'Marie', 'The Drug Store', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{town}}
- Explanation: The mention refers to the town where the story is set, Hanover. The town is a place where the story takes place. It is the location where the events described in the text occur.
- The mention refers to: Hanover",{},{},12,False,True
4276_north_and_south_brat_0,275,her father,11,"[1734, 1735]",NOM,-1,Mr. Hale,60,13,13,13,82.16666666666667,9,6,False,18,-1,-2,-1,1,['Margaret'],litbank,Margaret,Mr. Hale,her father,False,"['Newton', 'Helen', 'Mrs. Shaw', 'Margaret', 'Helstone Parsonage', 'Mrs. Gibson', 'Edith', 'Mr. Hale', 'Captain Lennox', 'The House', 'The Nursery', 'General Shaw', 'Mother', 'The Drawing-room', 'None of the Above']",True,Female,Male,"- Mention: {{her father}}
- Explanation: The mention refers to the father of Margaret. In the text, Margaret's father is not named, but he is the one who is mentioned as the one with whom Margaret used to have meals at home before she came to live in Harley Street.
- The mention refers to: Margaret","{3: 46, 0: 2, 1: 1}",{2: 3},15,False,True
120_treasure_island_brat_0,90,The man who came with the barrow,21,"[552, 558]",NOM,-1,The Barrow Man,72,27,27,27,78.66666666666667,4,3,False,10,-1,-2,-1,0,[],litbank,The Barrow Man,The Barrow Man,The man who came with the barrow,True,"['The One-legged Seafaring Man', 'The Dead Man', 'The Sea', ""Narrator's Father"", 'The Barrow Man', 'The Captain', 'The Cove', 'Dr. Livesey', 'The Parlour', 'Narrator', 'The Cliffs', 'None of the Above']",True,Male,Male,"- Mention: {{The man who came with the barrow}}
- Explanation: The man who came with the barrow is the person who brought the sea captain's sea chest to the inn. He is not named in the text. He is a servant or an employee of the inn.
- The mention refers to: The Barrow Man",{1: 1},{1: 1},12,False,True
41286_miss_marjoribanks_brat_0,312,his wife 's,1,"[2440, 2442]",NOM,-1,Mrs. Marjoribanks,40,13,13,74,54.0,35,20,False,19,-1,-2,-1,1,['Dr. Marjoribanks'],litbank,Mrs. Marjoribanks,Mrs. Marjoribanks,his wife 's,True,"['Miss Marjoribanks', 'The Drawing-room', 'Mrs. Marjoribanks', 'Ellis', ""Dr. Marjoribanks' Library"", 'Dr. Marjoribanks', 'The World', 'None of the Above']",True,Female,Female,"- Mention: {{his wife 's}}
- Explanation: The mention refers to Mrs. Marjoribanks. The pronoun 'his' indicates that the mention refers to Dr. Marjoribanks' wife. The possessive form 'his wife's' indicates that the mention refers to a specific wife of Dr. Marjoribanks.
- The mention refers to: Mrs. Marjoribanks",{3: 15},{3: 15},8,False,True
24_o_pioneers_brat_0,108,His sister,45,"[692, 693]",NOM,-1,Alexandra,36,2,5,41,55.785714285714285,65,14,False,17,-1,-2,-1,1,['Emil'],litbank,Alexandra,Alexandra,His sister,True,"['The Drug Store', 'The Saloon', 'Hanover', 'The Little Drummer', 'Alexandra', 'The Store', 'Carl', 'Emil', 'Marie', 'The Doctor', 'The Street', 'None of the Above']",True,Female,Female,"- Mention: {{His sister}}
- Explanation: The mention refers to Alexandra. The text states that Alexandra is a tall, strong girl who wears a man's long ulster and a round plush cap, and has a serious, thoughtful face.
- The mention refers to: Alexandra","{3: 40, 0: 10, 1: 1}","{3: 40, 0: 10, 1: 1}",12,False,True
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,101,his office,20,"[754, 755]",NOM,-1,Mr. Greyson's Office,74,93,93,93,86.0,4,3,False,16,-1,-2,-1,1,['Mr. Greyson'],litbank,Mr. Greyson,Mr. Greyson's Office,his office,False,"['Mr. Greyson', 'My Mansion', 'Narrator', ""Mr. Greyson's Office"", 'The Speaker', 'The Unsuspicious Stranger', 'Ragged Dick', 'Lewis Napoleon', 'General Washington', 'None of the Above']",True,Male,Neutral,"- Mention: {{his office}}
- Explanation: The mention refers to the office of Mr. Greyson. It is the place where Mr. Greyson works and where he wants Ragged Dick to leave the change. The mention is used to refer to the location of Mr. Greyson's office.
- The mention refers to: Mr. Greyson","{0: 15, 1: 6, 2: 5}",{4: 1},10,False,True
502_desert_gold_brat_0,46,The stranger,14,"[446, 447]",NOM,-1,Cameron's Comrade,44,2,8,65,57.96875,84,32,False,19,-1,-2,-1,0,[],litbank,None of the Above,None of the Above,The stranger,True,"['Cameron', 'None of the Above']",True,None,None,"- Mention: {{The stranger}}
- Explanation: The mention refers to the white man who approaches Cameron's campfire and asks for permission to make camp. He is a prospector like Cameron, but he is not identified by name in the text.
- The mention refers to: None of the Above",{},{},2,False,True
