doc_key,mention_ind,is_dialogue,output_string
5230_the_invisible_man_a_grotesque_romance_brat_0,132,True,"- Mention: I
- Sentence: "" I suppose I may have them to dry now , "" she said in a voice that brooked no denial .
- Is the sentence a dialogue or part of dialogue: True"
502_desert_gold_brat_0,149,True,"- Mention: his
- Sentence: ""I do n't know the country, but to me one place is the same as another,"" replied his companion.
- Is the sentence a dialogue or part of dialogue: True"
805_this_side_of_paradise_brat_0,244,True,"- Mention: {{I}} (#This is the marked mention)
- Sentence: ""Ah, Bishop Wiston, {{I}} do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico -- then after an interlude filled by the clergyman -- ""but my mood -- is -- oddly dissimilar.""
- Is the sentence a dialogue or part of dialogue: True"
2891_howards_end_brat_0,138,False,"- Mention: {{you}}
- Sentence: ""Much love. Modified love to Tibby. Love to Aunt Juley; how good of her to come and keep {{you}} company, but what a bore.""
- Is the sentence a dialogue or part of dialogue: False"
4276_north_and_south_brat_0,183,False,"- Mention: she
- Sentence: In this she was but her mother 's child ; who , after deliberately marrying General Shaw with no warmer feeling than respect for his character and establishment , was constantly , though quietly , bemoaning her hard lot in being united to one whom she could not love .
- Is the sentence a dialogue or part of dialogue: False"
5230_the_invisible_man_a_grotesque_romance_brat_0,133,True,"- Mention: I
- Sentence: ""I suppose I may have them to dry now,"" she said in a voice that brooked no denial.
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,155,True,"- Mention: your
- Sentence: ""Now lookee here ! "" said the man . "" Where 's your mother ? ""
- Is the sentence a dialogue or part of dialogue: True"
113_the_secret_garden_brat_0,46,True,"- Mention: she
- Sentence: ""I am Mary Lennox,"" the little girl said, drawing herself up stiffly. She thought the man was very rude to call her father's bungalow ""A place like this!"" ""I fell asleep when everyone had the cholera and I have only just wakened up. Why does nobody come?""
- Is the sentence a dialogue or part of dialogue: True"
805_this_side_of_paradise_brat_0,218,True,"- Mention: her
- Sentence: ""They pick up old , moth-eaten London accents that are down on their luck and have to be used by some one . They talk as an English butler might after several years in a Chicago grand-opera company . "" She became almost incoherent -- "" Suppose -- time in every Western woman 's life -- she feels her husband is prosperous enough for her to have -- accent -- they try to impress _ me _ , my dear -- ""
- Is the sentence a dialogue or part of dialogue: True"
969_the_tenant_of_wildfell_hall_brat_0,236,False,"- Mention: she
- Sentence: She is called Mrs. Graham, and she is in mourning — not widow's weeds, but slightish mourning — and she is quite young, they say, — not above five or six and twenty, — but so reserved!
- Is the sentence a dialogue or part of dialogue: False"
74_the_adventures_of_tom_sawyer_brat_0,227,True,"- Mention: I
- Sentence: ""I 'll learn him ! ""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,33,True,"- Mention: you
- Sentence: "" I thought you had become reconciled -- no , I do not mean that , -- I thought your regret might be less poignant . ""
- Is the sentence a dialogue or part of dialogue: True"
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,157,True,"- Mention: I
- Sentence: ""This coat once belonged to General Washington,"" said Dick, comically. ""He wore it all through the Revolution, and it got torn some, 'cause he fit so hard. When he died he told his widder to give it to some smart young feller that had n't got none of his own; so she gave it to me. But if you 'd like it, sir, to remember General Washington by, I'll let you have it reasonable.""
- Is the sentence a dialogue or part of dialogue: True"
113_the_secret_garden_brat_0,21,False,"- Mention: She
- Sentence: She had not wanted a little girl at all, and when Mary was born she handed her over to the care of an Ayah, who was made to understand that if she wished to please the Mem Sahib she must keep the child out of sight as much as possible.
- Is the sentence a dialogue or part of dialogue: False"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,246,True,"- Mention: you
- Sentence: ""Have you so specified in your will ? "" asked Curtis .
- Is the sentence a dialogue or part of dialogue: True"
